source_id,source_name,target_id,target_name,relation_type,relation_degree
1,Ali,2,Ayşe,arkadaş,2
1,Ali,3,Mehmet,yakın_arkadaş,3
1,Ali,4,Zeynep,arkadaş,2
1,Ali,5,Can,is_arkadasi,1
2,Ayşe,3,Mehmet,yakın_arkadaş,3
2,Ayşe,4,Zeynep,sevgili,5
2,Ayşe,6,Elif,arkadaş,2
3,Mehmet,5,Can,arkadaş,2
3,Mehmet,7,Burak,is_arkadasi,1
3,Mehmet,8,Derya,arkadaş,2
4,Zeynep,6,Elif,yakın_arkadaş,3
4,Zeynep,9,Murat,arkadaş,2
5,Can,7,Burak,yakın_arkadaş,3
5,Can,10,Selin,arkadaş,2
6,Elif,8,Derya,arkadaş,2
6,Elif,9,Murat,aile,4
7,Burak,9,Murat,arkadaş,2
7,Burak,10,Selin,is_arkadasi,1
8,Derya,10,Selin,yakın_arkadaş,3
9,Murat,10,Selin,aile,4
